drone_id,x,y,z
radio://0/80/2M/3,-0.001989463111385703,0.0030066019389778376,0.0007351168314926326
radio://0/80/2M/3,-0.002002635272219777,0.0030482616275548935,0.0007514239405281842
radio://0/80/2M/3,-0.002884417772293091,0.0034297751262784004,-0.0002688146196305752
radio://0/80/2M/3,-0.0027745228726416826,0.0036488536279648542,-0.0003638772468548268
radio://0/80/2M/3,-0.0036230990663170815,0.003949685487896204,-0.0007163490517996252
radio://0/80/2M/3,-0.0035158018581569195,0.004122748505324125,-0.0008680358296260238
radio://0/80/2M/3,-0.003325534053146839,0.004507735837250948,-0.0009239569772034883
radio://0/80/2M/3,-0.0006421739235520363,0.0034257445950061083,-0.0010767204221338034
radio://0/80/2M/3,-0.0005995753454044461,0.0034666205756366253,-0.0010089777642861009
radio://0/80/2M/3,-3.777687015826814e-05,0.00378008047118783,-0.0005717220483347774
radio://0/80/2M/3,0.000131931112264283,0.0038708297070115805,-0.0005976487300358713
radio://0/80/2M/3,0.00020358411711640656,0.004018531180918217,-0.000712429522536695
radio://0/80/2M/3,-0.0015784320421516895,0.0027939865831285715,-0.0011859479127451777
radio://0/80/2M/3,-0.0015153894200921059,0.0028390372171998024,-0.0011922667035833001
radio://0/80/2M/3,-0.0007642172859050333,0.001536899828352034,-0.0001677811669651419
radio://0/80/2M/3,-0.0007206384907476604,0.001673615537583828,-0.0001203131687361747
radio://0/80/2M/3,-0.0012899646535515785,0.0014559271512553096,0.0005535094533115625
radio://0/80/2M/3,-0.0008205129997804761,0.0016308589838445187,0.0011613302631303668
radio://0/80/2M/3,-0.0017153165536001325,0.001689427299425006,0.0003597554750740528
radio://0/80/2M/3,-0.001490170368924737,0.0019415189744904637,0.0009259838843718171
radio://0/80/2M/3,-0.002249531913548708,0.0018217448377981782,0.0003373023064341396
radio://0/80/2M/3,-0.002056964673101902,0.001889452920295298,0.00030867624445818365
radio://0/80/2M/3,-0.0023776739835739136,0.0018767004366964102,-0.0002576567349024117
radio://0/80/2M/3,-0.0017542120767757297,0.0017208242788910866,0.0003481306484900415
radio://0/80/2M/3,-0.0016324683092534542,0.0011186033952981234,0.0012508910149335861
radio://0/80/2M/3,-0.0015219585038721561,0.0011342634679749608,0.0013086415128782392
radio://0/80/2M/3,-0.0012065406190231442,0.0007120463997125626,0.0017212366219609976
radio://0/80/2M/3,-0.001220102421939373,0.000786367803812027,0.0015815958613529801
radio://0/80/2M/3,-0.001396358129568398,0.0008008365402929485,0.0014944798313081264
radio://0/80/2M/3,-0.001583949546329677,0.0011054592905566096,0.001814918126910925
radio://0/80/2M/3,-0.001610852894373238,0.0011556290555745363,0.0018548251828178763
radio://0/80/2M/3,-0.0014362926594913006,0.0011917162919417024,0.0019581096712499857
radio://0/80/2M/3,-0.002834463957697153,0.0011335802264511585,0.0006419721175916493
radio://0/80/2M/3,-0.00286682671867311,0.0013767904601991177,0.0006095720455050468
radio://0/80/2M/3,-0.0028207090217620134,0.0016404377529397607,0.0008556886459700763
radio://0/80/2M/3,-0.0025120482314378023,0.0018970551900565624,0.0008358544437214732
radio://0/80/2M/3,-0.0023725570645183325,0.002312165219336748,0.001012238790281117
radio://0/80/2M/3,-0.0009703809046186507,0.0023256686981767416,0.0013355087721720338
radio://0/80/2M/3,-0.0008449291344732046,0.002528331708163023,0.0014104765141382813
radio://0/80/2M/3,-0.0009128194069489837,0.002533789724111557,0.0013556478079408407
radio://0/80/2M/3,-0.0008712264243513346,0.002561597153544426,0.001469344599172473
radio://0/80/2M/3,-0.0006098663434386253,0.002695145783945918,0.0016177293146029115
radio://0/80/2M/3,-0.0004407927335705608,0.0029654582031071186,0.0016821527387946844
radio://0/80/2M/3,-0.00037174223689362407,0.0030362270772457123,0.0016649608733132482
radio://0/80/2M/3,-0.0003385261807125062,0.0029207454062998295,0.00170162005815655
radio://0/80/2M/3,-0.0001801062753656879,0.003041944932192564,0.0017164243618026376
radio://0/80/2M/3,5.361513831303455e-05,0.0032221272122114897,0.001763668260537088
radio://0/80/2M/3,7.114640175132081e-05,0.0033570644445717335,0.002064998261630535
radio://0/80/2M/3,0.00021432049106806517,0.0034265746362507343,0.0021986770443618298
radio://0/80/2M/3,0.00039716323954053223,0.0034854006953537464,0.002176612848415971
radio://0/80/2M/3,0.000515548512339592,0.0036439101677387953,0.0020266426727175713
